id,reference,generated,rouge1,rouge2,rougeL
140427_pg_bd_heat_dhaka_ac,গত বেশ কিছুদিন বাংলাদেশের রাজধানী ঢাকায় বাসিন্দাদের আলোচনার প্রধান বিষয় দু:সহ গরম।,"বাংলাদেশের রাজধানী ঢাকায় গত ৫০ বছরের মধ্যে সবচেয়ে বেশি গরম পড়েছে এই বছর। এর ফলে শীতাতপ নিয়ন্ত্রণের যন্ত্র বা এসির চাহিদা বেড়ে গেছে। বিক্রেতারা জানিয়েছেন, এসির চাহিদা এতই বেশি যে তারা সরবরাহ করতে পারছেন না। বাজারে এক বা দেড়টনের এসি পাওয়া যাচ্ছে না, শুধু দুই টনের এসি পাওয়া যাচ্ছে। এসির দামও বেড়ে গেছে। এছাড়াও এসি কেনার পর তা লাগিয়ে দেবার লোকও পাওয়া যাচ্ছে না। এসি ব্যবহারের ফলে বিদ্যুতের ব্যবহার বেড়ে যাচ্ছে, যা লোডশেডিং বাড়িয়ে দিচ্ছে।",11.36,4.65,9.09
news-56880849,"বাংলাদেশে স্বাস্থ্য অধিদপ্তরের তথ্যে দেখা গেছে, গত সপ্তাহে যেখানে নমুনা পরীক্ষার বিচারে কোভিড-১৯ রোগী শনাক্তের হার ছিল ২৩ শতাংশ, কয়েকদিনের ব্যবধানে সেটি এখন ১৩ শতাংশে নেমে এসেছে।","বাংলাদেশে করোনাভাইরাসে আক্রান্ত হয়ে মৃত্যুর সংখ্যা কিছুটা কমেছে। স্বাস্থ্য অধিদপ্তরের সর্বশেষ তথ্যে দেখা গেছে, গত ২৪ ঘণ্টায় নতুন করে ১০১ জন মানুষ কোভিড-১৯ আক্রান্ত হয়ে মারা গেছেন। স্বাস্থ্য অধিদপ্তরের সাবেক অতিরিক্ত মহাপরিচালক অধ্যাপক সানিয়া তাহমিনা বলছেন, সংক্রমণের হার যতটুকুই কমেছে সেটি দেশে চলমান লকডাউনের কারণেই হয়েছে। তিনি বলেন, ""লকডাউনে মানুষ যেভাবেই স্বাস্থ্যবিধি মানুক, যত কমই মানুক না কেন, এর মাধ্যমে ন্যুনতম যে সুফল পাওয়া যায় তার প্রতিফলন আমরা দেখছি সংক্রমণ আর মৃত্যুর হারের পরিসংখ্যানে।"" এদিকে, সরকার সারাদেশে খুলে দিয়েছে দোকানপাট এবং শপিংমল, যা সংক্রমণের ঝুঁকি বাড়াবে বলে মনে করেন বিশেষজ্ঞরা।",18.49,8.55,18.49
news-42949518,ভারতে মুঘল আমলে নির্মিত আইকনিক স্থাপত্য তাজমহলের প্রাঙ্গণে সে রাজ্যের সরকার 'রামলীলা' অনুষ্ঠান আয়োজনের সিদ্ধান্ত নেওয়ার পর তা নিয়ে বিতর্ক চরমে উঠেছে।,"উত্তরপ্রদেশ সরকার তাজমহলকে ঘিরে প্রতি বছর অনুষ্ঠিত তাজ মহোৎসবের উদ্বোধন হবে হিন্দুদের ভগবান রামের জীবনগাথা-নির্ভর নৃত্যগীতের মধ্যে দিয়ে। এই সিদ্ধান্তকে স্বাগত জানিয়েছে ক্ষমতাসীন বিজেপির নেতারা, তবে বিরোধী দলগুলো এর সমালোচনা করেছে। ঐতিহাসিকরা বলছেন, এটা তাজমহলের ঐতিহ্যকে জোর করে অস্বীকার করার চেষ্টা ছাড়া কিছুই নয়।",5.97,0.0,2.99
news-56080104,বাংলাদেশের সেনাপ্রধান ও তার ভাইদের নানা কর্মকাণ্ড ও দুর্নীতির অভিযোগ নিয়ে কাতার-ভিত্তিক টেলিভিশন চ্যানেল আল জাজিরার করা একটি অনুসন্ধানী প্রতিবেদন 'অসৎ উদ্দেশ্য' নিয়ে করা হয়েছে বলে দাবি করছেন জেনারেল আজিজ আহমেদ।,"বাংলাদেশের সেনাবাহিনী প্রধান জেনারেল আজিজ আহমেদ আল জাজিরার প্রতিবেদনের বিষয়ে মন্তব্য করেছেন। তিনি বলেছেন, প্রতিবেদনটি তাকে এবং প্রধানমন্ত্রীকে হেয় করার চেষ্টা করেছে। জেনারেল আহমেদ আরও বলেছেন, তার ভাইদের সাথে তার সম্পর্ক সম্পর্কে প্রশ্নের উত্তরে তিনি বলেছেন, তার ভাইদের বিরুদ্ধে কোন সাজা বা মামলা ছিল না।",20.78,10.67,12.99
news-54239981,বাংলাদেশে শীতের সময় করোনাভাইরাস সংক্রমণের প্রকোপ আরও বাড়তে পারে বা দ্বিতীয় ঢেউ আসতে পারে- এমন আশংকা থেকে সরকার ভাইরাসটি প্রতিরোধ এবং চিকিৎসার ব্যাপারে একটি রোডম্যাপ তৈরি করেছে।,"বাংলাদেশে শীতকালে করোনাভাইরাস সংক্রমণ বৃদ্ধির আশঙ্কা করা হচ্ছে। এই পরিস্থিতি মোকাবেলায় স্বাস্থ্য মন্ত্রণালয় একটি পরিকল্পনা তৈরি করেছে। পরিকল্পনা অনুযায়ী, ঠাণ্ডাজনিত রোগের চিকিৎসার জন্য প্রয়োজনীয় ঔষধ ও ভ্যাকসিনের মজুদ নিশ্চিত করা হবে এবং কোভিড-১৯ চিকিৎসার জন্য নির্ধারিত হাসপাতালগুলোকে প্রস্তুত রাখা হবে। এছাড়াও, মুখে মাস্ক না পরলে কঠোরভাবে আইন প্রয়োগ করা হবে। স্বাস্থ্য মন্ত্রণালয়ের সচিব মো: আব্দুল মান্নান জানিয়েছেন, শীতজনিত রোগের চিকিৎসার জন্য প্রয়োজনীয় সব ব্যবস্থা নেওয়া হচ্ছে।",14.89,2.17,10.64
news-49144997,টেলিভিশনে পাকিস্তানের শীর্ষস্থানীয় বিরোধী রাজনীতিবিদ আসিফ আলী জারদারির সাক্ষাৎকার নিচ্ছিলেন সুপরিচিত একজন সাংবাদিক হামিদ মীর। সাক্ষাৎকারটির সম্প্রচার শুরু হওয়ার কয়েক মিনিটের মধ্যেই এর সম্প্রচার বন্ধ হয়ে যায়।,পাকিস্তানে সাংবাদিকদের ওপর চলমান সেন্সরশিপের প্রতিবাদ জানিয়েছেন সাংবাদিকরা। পাকিস্তানের সরকার ও সামরিক বাহিনীর সমালোচনা করা থেকে সাংবাদিকদের বিরত রাখার চেষ্টা করা হচ্ছে বলে অভিযোগ করা হচ্ছে। পাকিস্তানের প্রধানমন্ত্রী ইমরান খান ও সামরিক বাহিনী এসব অভিযোগ অস্বীকার করেছে। সাংবাদিকদের এসব অভিযোগের কারণে পাকিস্তানের সাথে পশ্চিমা দেশগুলোর সম্পর্ক উন্নয়নের চেষ্টা ক্ষতিগ্রস্ত হচ্ছে।,2.6,0.0,2.6
news-56878093,বাংলাদেশে আগামীকাল সোমবার থেকে করোনাভাইরাসের টিকার প্রথম ডোজ দেয়া বন্ধ করে দিচ্ছে কর্তৃপক্ষ।,"বাংলাদেশে করোনাভাইরাস টিকাদান কার্যক্রমের প্রথম ডোজ টিকা প্রদান সাময়িকভাবে বন্ধ রাখা হয়েছে। স্বাস্থ্য অধিদপ্তর জানিয়েছে, ২৬শে এপ্রিল সোমবার থেকে পরবর্তী নির্দেশ না দেয়া পর্যন্ত প্রথম ডোজ টিকা প্রদান বন্ধ থাকবে। বাংলাদেশে ২৪শে এপ্রিল পর্যন্ত ৫৭ লাখ ৯৮ হাজার ৮৮০ জন প্রথম ডোজের টিকা নিয়েছেন এবং ২১ লাখ ৫৫ হাজার ২৯৬ জন দ্বিতীয় ডোজের টিকা পেয়েছেন।",20.59,6.06,17.65
news-51083336,গত ১৫ বছর ধরে কেটি মেইসনরুজ অপেক্ষা করছেন এমন এক সফরের জন্য যেটি তাকে পৃথিবী থেকে নিয়ে যাবে ভিন্ন এক জগতে।,"কেটি মেইসনরুজ নামের একজন ৬১ বছর বয়সী ব্যক্তি ভার্জিন গ্যালাকটিকের মহাকাশ ভ্রমণের জন্য প্রশিক্ষণ নিচ্ছেন। তিনি ২০০৫ সালে আড়াই লাখ ডলার দিয়ে মহাকাশে যাওয়ার জন্য টিকেট কিনেছিলেন। ভার্জিন গ্যালাকটিক এবছরই তাদের মহাকাশ ফ্লাইটের উদ্বোধন করবে বলে আশা করা হচ্ছে, যা হবে প্রথম বেসরকারি কোম্পানি যারা পর্যটকদের মহাকাশে নিয়ে যাবে। এপর্যন্ত ৬০০ জন লোক তাদের মহাকাশ ভ্রমণের টিকেট কিনেছে, যাদের মধ্যে জাস্টিন বিবার এবং লিওনার্ডো ডিক্যাপ্রিওর মতো সেলিব্রেটিও রয়েছে।",13.48,4.6,11.24
news-46679946,ইতালিতে অভিবাসীদের এক কেন্দ্রে একটি দু'বছরের শিশুর খৎনা করানোর সময় অতিরিক্ত রক্তক্ষরণ শুরু হবার ফলে ছেলেটি মারা গেছে।,ইতালির রোমের একটি উপশহরে এক শিশুর মৃত্যু হয়েছে অবৈধভাবে খৎনা করানোর পর। শিশুটির ভাইও খৎনা করানো হয়েছিল এবং সে হাসপাতালে চিকিৎসা নিচ্ছে। এ ঘটনায় এক লিবিয়ান বংশোদ্ভূত আমেরিকান ডাক্তারকে গ্রেফতার করা হয়েছে।,19.61,4.08,15.69
news-47301727,পনের বছর বয়সে তথাকথিত ইসলামিক স্টেট বা আইএসে যোগ দেয়া শামীমা বেগম ব্রিটিশ নাগরিকত্ব হারাতে যাচ্ছেন।,ব্রিটিশ-বাংলাদেশী শামীমা বেগমের ব্রিটিশ নাগরিকত্ব বাতিল হতে পারে কারণ তিনি ১৯ বছর বয়স পূর্ণ করেছেন এবং অন্য দেশের নাগরিকত্ব পাওয়ার যোগ্য। শামীমা বেগম বর্তমানে সিরিয়ায় একটি শরণার্থী ক্যাম্পে অবস্থান করছেন এবং তিনি আবার ব্রিটেনে ফিরতে চান। তার পারিবারিক আইনজীবী জানিয়েছেন যে তারা এই সিদ্ধান্তের বিরুদ্ধে আইনি পথে বিবেচনা করছেন।,15.15,6.25,9.09
news-49709690,প্রিয়াঙ্কা তরফদার বৃষ্টি বছর তিনেক আগে শ্রীমঙ্গলে তার গ্রামের বাড়ি থেকে ছুটি কাটিয়ে ঢাকায় ফিরছিলেন।,"বাংলাদেশের রেলপথে ট্রেনে পাথর নিক্ষেপের ঘটনা বারবার ঘটছে। গত পাঁচ বছরে এ ধরনের ঘটনায় ২০০০ এর বেশি জানালা-দরজা ভেঙেছে। এসব ঘটনায় অনেকে আহত হয়েছেন, এমনকি কেউ কেউ মৃত্যুর সম্মুখীন হয়েছেন। রেলওয়ে কর্তৃপক্ষ এসব ঘটনা রোধে বিভিন্ন পদক্ষেপ নিয়েছে, তবে এখনও পর্যন্ত এসব ঘটনা সম্পূর্ণভাবে বন্ধ করা সম্ভব হয়নি।",0.0,0.0,0.0
news-56546869,গত দু বছরের মধ্যে চতুর্থবারের মতো একই সমস্যা হচ্ছে ইসরায়েলে- নির্বাচনের পর সংখ্যাগরিষ্ঠতা পেয়েও ক্ষমতায় থাকার জন্য প্রয়োজনীয় আসনের জন্য হাহাকার করতে হচ্ছে প্রধানমন্ত্রী বেনিয়ামিন নেতানিয়াহুকে।,ইসরায়েলের সাম্প্রতিক নির্বাচনে কোনো দলই নিরঙ্কুশ সংখ্যাগরিষ্ঠতা পায়নি। এই পরিস্থিতিতে ইসলামপন্থী আরব দল রাম কিংমেকার হয়ে উঠেছে। দলটি পাঁচটি আসনে জয় পেয়েছে এবং তাদের ভোট প্রধানমন্ত্রী বা তার প্রতিপক্ষকে ক্ষমতায় রাখতে পারে। রাম দলটি মূলত ফিলিস্তিনের গাজা শাসনকারী হামাসের ধর্মীয় ভাবধারায় গড়ে উঠা একটি ইসলামপন্থী দল।,8.33,0.0,5.56
news-56728594,বাংলাদেশের মন্ত্রিপরিষদ বিভাগ সাত দিনের লকডাউনের যে বিধি-নিষেধ দিয়েছে বুধবার থেকে তার মধ্যে সব ধরণের আর্থিক প্রতিষ্ঠান বন্ধ রাখার নির্দেশ দেয়া হয়েছে।,"বাংলাদেশ ব্যাংক নির্দেশনা অনুযায়ী, সরকার ঘোষিত বিধি-নিষেধ চলাকালীন সময়ে সাধারণভাবে সব তফসিলি ব্যাংক বন্ধ থাকবে। এসময় এটিএম বুথগুলোতে পর্যাপ্ত নোট সরবরাহ করা হবে এবং অনলাইন ব্যাংকিং সেবা চালু থাকবে। সমুদ্র/স্থল/বিমান বন্দর এলাকায় অবস্থিত ব্যাংকের শাখা/উপশাখা/বুথসমূহ খোলা রাখার বিষয়ে বন্দর/কাস্টমস কর্তৃপক্ষের সাথে আলোচনাক্রমে যথাযথ ব্যবস্থা গ্রহণ করা হবে।",13.16,2.7,13.16
news-52668365,বাংলাদেশে করোনাভাইরাস মহামারির মধ্যে লকডাউনের কারণে ক্ষতিগ্রস্ত ৫০ লাখ দরিদ্র পরিবারকে ঈদ উপলক্ষে আড়াই হাজার টাকা করে নগদ সহায়তা দেয়া শুরু করা হয়েছে।,"বাংলাদেশে করোনভাইরাস মহামারির কারণে লকডাউন জারি করা হয়েছে, যার ফলে অনেক মানুষ খাদ্য ও অর্থনৈতিক সংকটের মুখোমুখি হয়েছে। সরকার খাদ্য সহায়তা প্রদানের জন্য বিভিন্ন কর্মসূচি গ্রহণ করেছে, তবে অনেক মানুষ এখনও সহায়তা পাচ্ছে না। প্রধানমন্ত্রী শেখ হাসিনা মোবাইল ব্যাংকিংয়ের মাধ্যমে নগদ টাকা প্রদানের কার্যক্রম শুরু করেছেন, তবে অনেক মানুষ এখনও সহায়তা পাচ্ছে না।",23.68,2.7,13.16
news-45932627,জামাল খাসোগজির হত্যকাণ্ড সম্পর্কে আরেকটি নতুন ভাষ্য হাজির করেছে সৌদি আরব।,"সৌদি আরবের একজন উর্ধ্বতন কর্মকর্তা বলেছেন, জামাল খাসোগজিকে অপহরণের জন্য একটি দল পাঠানো হয়েছিল। কিন্তু তিনি এতে বাধা দেওয়ায় তাকে জাপটে ধরে শ্বাসরুদ্ধ করে মারা যান। এরপর সৌদি দলের একজন সদস্য জামাল খাসোগজির কাপড় পরে কনস্যুলেট থেকে বেরিয়ে যান। সৌদি আরব আগে বলেছিল, জামাল খাসোগজি কনস্যুলেটের ভেতরেই মারা গেছেন। কিন্তু এখন পর্যন্ত তারা তার মৃতদেহ কোথায় রয়েছে তা জানায়নি।",11.43,5.88,11.43
news-46002945,ভারতের দিল্লি বিশ্ববিদ্যালয় তাদের পাঠ্যক্রম থেকে কয়েকটি বই বাদ দিতে চলেছে।,দিল্লি বিশ্ববিদ্যালয় তাদের পাঠ্যক্রম থেকে চারটি বই সরিয়ে দেওয়ার প্রক্রিয়া শুরু করেছে। এই বইগুলির মধ্যে তিনটি লিখেছেন দলিত-চিন্তাবিদ কাঞ্চা ইলাইয়া এবং একটি লিখেছেন ক্রিস্টোফার জেফারলেট। বিশ্ববিদ্যালয়ের স্ট্যান্ডিং কমিটি অন অ্যাকাডেমিক ম্যাটার্স-এর সদস্য অধ্যাপক গীতা ভাট বলেছেন যে এই বইগুলি ছাত্রছাত্রীদের পড়ানো অ্যাকাডেমিক দিক থেকে অনুচিত কারণ এগুলোর মধ্যে যথেষ্ট গবেষণালব্ধ উপাদান এবং তথ্যের অভাব রয়েছে। তিনি আরও বলেছেন যে এই বইগুলি ছাত্রছাত্রীদের মধ্যে ভেদাভেদের মনোভাব তৈরি করবে।,15.0,10.26,15.0
news-42139703,"ভারতে বহুল আলোচিত আখিলা হাদিয়া-র তথাকথিত 'লাভ জিহাদ' মামলায় দেশের সুপ্রিম কোর্ট সোমবার তার বাবা-মা বা স্বামী, কারও কাছেই তাকে থাকার অনুমতি না-দিয়ে আপাতত তার মেডিক্যাল কলেজের হাতেই তার অভিভাবকত্ব তুলে দিয়েছে।",ভারতের সর্বোচ্চ আদালত সুপ্রিম কোর্ট কেরালার এক মেয়েকে তার বাবা-মায়ের অভিভাবকত্ব থেকে মুক্তি দিয়েছে। কিন্তু তাকে তার স্বামীর সাথে থাকার অনুমতি দেওয়া হয়নি। আখিলা হাদিয়া নামের এই মেয়েটি ইসলাম ধর্ম গ্রহণ করেছেন এবং এক মুসলিম ছেলেকে বিয়ে করেছেন। এই বিয়েতে তার বাবা-মায়ের সম্মতি ছিল না। এখন তাকে তার মেডিক্যাল ইন্টার্নশিপ শেষ করতে হবে এবং সেই সময় তার কলেজের ডিন তার অভিভাবকের ভূমিকা পালন করবেন। এই মামলার পরবর্তী শুনানি হবে আগামী বছরের জানুয়ারিতে।,29.36,9.35,22.02
news-48499557,উত্তর কোরিয়ান একজন কর্মকর্তা - যাকে শ্রম শিবিরে পাঠিয়ে দেয়া হয়েছে বলে খবর বেরিয়েছিল - তিনি সেদেশের নেতা কিম জং আনের সাথে একটি অনুষ্ঠানে যোগ দিয়েছেন বলে রাষ্ট্রীয় সংবাদ মাধ্যমে বলা হয়েছে।,উত্তর কোরিয়ার সর্বময় ক্ষমতাসম্পন্ন নেতা কিম জং-আনের ডান হাত হিসেবে পরিচিত কিম ইয়ং-চোলকে শাস্তি হিসেবে শ্রম শিবিরে পাঠানো হয়েছে বলে খবর বেরোয়। কিন্তু উত্তর কোরিয়ার সংবাদ মাধ্যমে দেখানো হয় যে তিনি একটি সঙ্গীতানুষ্ঠানে বসে আছেন। কিম ইয়ং-চোল যুক্তরাষ্ট্র গিয়েছিলেন মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের সাথে ভিয়েতনামে অনুষ্ঠিত সম্মেলনের প্রস্তুতির জন্য।,36.59,17.5,21.95
